# Name, Nmeasurements, time-span (days), mean logRhk, median logRhk, sig_Rhk_raw, sig_Rhk_short-term, Pcycle, gamma, A, Prot (days), Age (Gyr)
HD82342	31	3009	-5.012	-5.010	0.0753	0.0333	3434 547218	-4.999	0.1184	50.9  5.6	7.68  0.88
HD82516	56	2320	-4.954	-4.963	0.1222	0.0537	6065 4074	-4.802	0.5874	36.7  5.3	4.59  0.53
HD85390	65	2689	-4.969	-4.967	0.0631	0.0401	2476 322525	-4.973	0.0790	44.9  4.7	7.37  0.85
HD85512	175	2705	-4.936	-4.937	0.1143	0.0317	3793 850666	-4.956	0.2035	50.9  7.0	6.41  0.74
HD86140	17	2690	-4.838	-4.844	0.1002	0.0506	2798 4114827	-4.831	0.1836	39.0  5.4	4.98  0.57
HD86065	24	3008	-4.872	-4.877	0.1245	0.0621	891 132780	-4.856	0.1275	40.7  5.4	5.37  0.62
HD89454	48	1468	-4.685	-4.688	0.1353	0.0906	1573 537353	-4.695	0.1606	21.1  3.7	2.51  0.29
HD90156	79	2665	-4.973	-4.973	0.0131	0.0111	1279 8712	-4.973	0.0092	27.0  3.2	4.67  0.54
HD90711	18	2306	-4.974	-4.972	0.0837	0.0269	2925 545010	-4.984	0.1180	43.1  4.4	7.33  0.84
HD90812	22	2307	-4.981	-4.994	0.1170	0.0286	8000 2419	-4.831	0.5507	34.1  4.4	4.85  0.56
HD93083	66	2279	-4.941	-4.933	0.1627	0.0443	3453 850560	-4.942	0.2273	46.2  5.3	6.81  0.78
HD94151	20	2703	-4.960	-4.981	0.0915	0.0233	3792 850666	-4.951	0.1561	33.1  3.7	5.58  0.64
HD96700	152	3011	-4.967	-4.968	0.0199	0.0178	830 27	-4.965	0.0141	20.6  2.9	3.55  0.41
HD98281	53	2227	-4.914	-4.911	0.0670	0.0487	2861 1339654	-4.938	0.1120	33.5  3.8	5.57  0.64
HD100508	32	2284	-5.001	-5.008	0.0776	0.0297	8000 3735	-4.903	0.3236	39.5  4.5	6.09  0.70
HD101930	33	2261	-5.016	-5.019	0.0497	0.0304	8000 2453	-4.906	0.3137	43.0  5.1	6.25  0.72
HD106116	103	2658	-5.005	-5.007	0.0243	0.0143	3194 546147	-5.002	0.0335	33.1  3.5	5.90  0.68
HD106275	17	2649	-4.870	-4.891	0.1956	0.0709	3187 546147	-4.893	0.3246	41.6  5.0	6.05  0.70
HD108309	20	2647	-5.003	-5.000	0.0341	0.0163	1552 3507405	-5.014	0.0547	29.9  3.3	5.39  0.62
HD109200	118	2866	-4.976	-4.981	0.0771	0.0335	8000 2069	-4.950	0.2118	43.0  4.6	6.92  0.80
HD114613	96	1768	-5.059	-5.063	0.0545	0.0371	897 6513	-5.053	0.0553	34.1  3.5	6.38  0.73
HD114747	38	1473	-4.829	-4.859	0.2596	0.0767	1820 323433	-4.794	0.3770	36.0  5.2	4.49  0.52
HD115617	129	2639	-4.992	-4.995	0.0241	0.0198	1548 286161	-4.993	0.0200	33.9  3.6	5.99  0.69
HD115674	39	2252	-4.919	-4.924	0.0484	0.0295	1947 253868	-4.902	0.0852	25.5  3.3	4.08  0.47
HD119638	24	3000	-4.934	-4.932	0.0417	0.0196	6000 2000	-4.932	0.0484	12.0  2.3	2.35  0.27
HD125072	24	2174	-4.941	-4.952	0.1343	0.0555	1146 97082	-4.859	0.2797	42.0  5.9	5.23  0.60
HD125881	26	3003	-4.872	-4.867	0.0795	0.0289	1044 4473	-4.867	0.1241	15.7  2.7	2.45  0.28
HD129642	54	1510	-4.971	-4.973	0.0488	0.0363	1419 413469	-4.968	0.0464	48.0  5.3	7.27  0.84
HD132648	28	2624	-4.874	-4.890	0.1187	0.0528	5792 2060	-4.845	0.2082	28.1  3.7	4.18  0.48
HD134664	28	1066	-4.871	-4.858	0.0823	0.0263	2097 691	-4.871	0.1588	23.2  3.2	3.58  0.41
HD136352	123	2543	-4.986	-4.986	0.0107	0.0098	1041 59781	-4.986	0.0060	25.0  3.1	4.37  0.50
HD136713	41	2203	-4.787	-4.771	0.1429	0.0710	5706 3791	-4.921	0.5547	45.4  5.6	6.36  0.73
HD138549	21	2622	-4.834	-4.819	0.1370	0.0639	2180 225035	-4.851	0.1759	28.4  3.7	4.26  0.49
HD137388	64	2118	-4.879	-4.867	0.1461	0.0723	2770 534819	-4.877	0.1844	40.6  5.0	5.79  0.67
HD144628	53	2105	-5.004	-5.003	0.0508	0.0280	4103 1830421	-5.017	0.0797	48.2  4.7	8.21  0.95
HD146233	38	2157	-4.923	-4.923	0.0793	0.0287	2803 2369263	-4.918	0.1476	23.8  3.2	3.87  0.45
HD148303	31	2164	-4.667	-4.657	0.2140	0.1017	2416 9132674	-4.674	0.3000	28.9  5.6	2.82  0.33
HD154088	107	1866	-5.034	-5.037	0.0267	0.0174	8000 6487	-4.977	0.1550	42.6  4.4	7.20  0.83
HD154577	118	2550	-4.974	-4.981	0.0750	0.0289	2702 431126	-4.959	0.1294	45.8  5.0	7.18  0.83
HD157172	81	2099	-4.990	-5.001	0.0798	0.0228	8000 2581	-4.840	0.4855	32.7  4.1	4.78  0.55
HD157830	55	2526	-4.822	-4.824	0.1164	0.0655	1613 114109	-4.822	0.1487	24.3  3.5	3.51  0.40
HD161098	65	1866	-4.946	-4.952	0.0500	0.0282	8000 2791	-4.801	0.4861	22.5  3.4	3.16  0.36
HD172513	41	1081	-4.777	-4.777	0.0751	0.0503	1221 418511	-4.799	0.1205	28.3  3.9	3.95  0.45
HD177565	26	1684	-4.927	-4.949	0.1218	0.0248	2016 325652	-4.895	0.1710	28.4  3.5	4.50  0.52
HD188559	35	1153	-4.811	-4.826	0.1981	0.0952	2221 740341	-4.811	0.3193	39.1  6.2	4.45  0.51
HD192310	152	2704	-4.996	-5.009	0.1060	0.0258	3792 850666	-4.931	0.2049	43.7  4.9	6.69  0.77
HD197823	19	1056	-4.719	-4.751	0.2345	0.0377	764 263001	-4.645	0.4882	21.0  4.0	2.27  0.26
HD199960	30	1864	-4.982	-4.978	0.0488	0.0174	1076 8732	-4.992	0.0857	25.2  3.1	4.43  0.51
HD203432	36	1405	-4.816	-4.838	0.1904	0.0641	2080 437224	-4.838	0.2825	29.5  3.8	4.35  0.50
HD204313	66	1548	-4.993	-4.997	0.0323	0.0233	987 73	-5.000	0.0371	33.1  3.5	5.88  0.68
HD204941	34	2180	-4.962	-4.971	0.0695	0.0238	2132 229362	-4.957	0.0892	45.3  4.9	7.15  0.82
HD207129	79	1876	-4.898	-4.907	0.0890	0.0400	1520 117319	-4.899	0.1069	17.6  2.8	2.83  0.33
HD209100	46	1916	-4.806	-4.806	0.1025	0.0641	1719 231175	-4.788	0.1486	37.6  6.2	4.12  0.47
HD215152	167	2740	-4.871	-4.878	0.0837	0.0516	713 122795	-4.867	0.0876	41.8  5.6	5.49  0.63
HD222237	18	1115	-5.015	-5.025	0.0575	0.0246	2168 2402449	-4.993	0.0918	50.7  5.7	7.54  0.87
HD222595	26	1053	-4.806	-4.833	0.2024	0.0833	1667 421715	-4.796	0.2280	24.1  3.5	3.36  0.39
HD222669	47	1403	-4.858	-4.860	0.0715	0.0526	1336 128507	-4.858	0.0654	17.5  2.9	2.66  0.31
